Title,Authors,Contributors,ISBN,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Humans,Matt Haig,"",9781786894663,paperback,to-read,2019/09/23,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
They Called Us Enemy,"Justin Eisinger, Steven Scott, George Takei",Harmony Becker (Illustrator),9781684067510,digital,read,2020/07/14,2020/10/06,2020/10/06,1,"sad, inspiring, informative",medium,,,,,,4.0,"","","","",No
The Dispossessed,Ursula K. Le Guin,"","",paperback,to-read,2017/02/18,"","",0,"",,,,,,,,,"",,physical-copy,Yes
The Bone Ships,R.J. Barker,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Beren and Lúthien,J.R.R. Tolkien,"",,,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
The Girl and the Stars,Mark Lawrence,"","",,to-read,2019/09/28,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Iron Widow,Xiran Jay Zhao,"",9780735269934,hardcover,to-read,2021/10/31,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Magic for Nothing,Seanan McGuire,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
The Tiger in the Well,Philip Pullman,Anton Lesser (Narrator),9781400089758,audio,read,2015/06/05,"","",1,"",,,,,,,3.0,,"",,"",No
The Inheritance,"Robin Hobb, Megan Lindholm","",9780007273799,paperback,read,2015/01/08,2014/10/01,2014/10/01,1,"",,,,,,,4.0,,"",,"",No
The Cruel Prince,Holly Black,"","",,to-read,2019/09/23,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Girls of Paper and Fire,Natasha Ngan,"",9780316561365,hardcover,read,,2019/03/31,2019/03/31,1,"inspiring, emotional, dark",medium,,Yes,Yes,Yes,It's complicated,4.0,"I really enjoyed reading this. The world is gorgeous and I love Lei and Wren. The premise is that each year Paper Girls are chosen and forced to be concubines for the king. One of the things I like most about the book is how, even though only about half the girls are developed as characters, they all have a distinct personality and deal with the trauma they are going through in their own way. I also liked that we've got the traditional kickass fantasy heroine in this book but she's not the main character, Lei shows a different kind of strength and we see the world through her eyes. I'm looking forward to seeing how things progress in the next book!","",,"",Yes
Queen of Camelot,Nancy McKenzie,"",,,read,2013/01/18,"","",1,"",,,,,,,4.0,,"",,"",No
Shades of Magic Vol. 2: Night of Knives,"Andrea Olimpieri, V.E. Schwab","",,,read,2019/11/17,2019/11/17,2019/11/17,1,"",,,,,,,4.0,3.5 stars.,"",,"",Yes
Limited Wish,Mark Lawrence,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Daja's Book,Tamora Pierce,"","",,read,2013/01/18,"","",1,"",,,,,,,3.0,,"",,"",No
"Heartstopper, Volume Four",Alice Oseman,"",9781444952797,paperback,read,2021/05/11,2021/05/11,2021/05/11-2021/05/11,1,"emotional, hopeful",medium,Character,Yes,Yes,Yes,No,5.0,"","","","",Yes
Where Dreams Descend,Janella Angeles,"",9781250204356,hardcover,to-read,2020/11/11,"","",0,"",,,,,,,,,"",,ya-sff-by-aoc-2020,No
"Giant Days, Vol. 3","Lissa Treiman, Jim Campbell, John Allison, Max Sarin, Whitney Cogar","",9781613985229,digital,to-read,2020/12/01,"","",0,"",,,,,,,,,"",,"comixology, ebook, chill",Yes
The Stone Sky,N.K. Jemisin,"","",paperback,read,2018/04/18,2018/04/21,2018/04/21,1,"",,,,,,,4.0,"Another fabulous book. The world-building continues to be my favourite part of this trilogy, it's so intricate and beautiful. One the things I loved about the first two books was that I had no idea where it was going. That understandably gets lost in this book, as everything was leading up to this point, but I missed the atmosphere of mystery. What we do get is a filling in of the blanks, the whole picture comes into focus and we finally get to see the entire scope of things. The characters also get some more attention in this book and seeing both Essun's and Nassun's point of view was heart-breaking. This series really is brilliant and the finale didn't disappoint.","",,"",Yes
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"","",,read,,"","",1,"",,,,,,,4.0,,"",,"",No
Love After the End: An Anthology of Two-Spirit and Indigiqueer Speculative Fiction,Joshua Whitehead,"","",,currently-reading,2021/12/01,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
Terra Nullius,Claire G. Coleman,"",9781618731517,paperback,to-read,2021/01/01,"","",0,"",,,,,,,,,"",,"",No
The Relentless Moon,Mary Robinette Kowal,"",,,to-read,2021/07/09,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
"The Wicked + The Divine, Vol. 7: Mothering Invention","Jamie McKelvie, Matt Wilson, Kieron Gillen","","",,read,2020/04/18,2020/06/28,2020/06/28,1,"mysterious, dark",fast,,Yes,Yes,Yes,Yes,4.0,<div>I really liked the flashbacks in this volume and the story is as confusing and compelling as ever.</div>,"",,"",Yes
Atlas Alone,Emma Newman,"",,,read,2019/06/04,2019/06/06,2019/06/06,1,"",,,,,,,4.0,"Another fabulous story and I loved the ending but I didn't connect with Dee in the same way I have with the previous three protagonists. It was an interesting exploration of morality and boundaries, plus seeing how they're dealing with the fall out from After Altas was great. <br><br>I'm struggling to figure out why I didn't enjoy this one as much but it may just be that After Atlas and Before Mars BLEW MY MIND and this didn't quite meet that extremely high bar.","",,"",Yes
Illuminae,"Jay Kristoff, Amie Kaufman","","",,to-read,2019/09/28,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
"The Wicked + The Divine, Vol. 3: Commercial Suicide","Brandon Graham, Jamie McKelvie, Leila del Duca, Stephanie Hans, Kieron Gillen, Tula Lotay, Kate Brown","","",,read,2020/05/25,2020/05/01,2020/05/01,1,"dark, adventurous",,,"","","","",3.5,"","",,"",Yes
The House in the Cerulean Sea,TJ Klune,"",9781250217325,digital,read,2020/06/18,2020/08/08,2020/08/08,1,"hopeful, adventurous",medium,,Yes,Yes,Yes,It's complicated,4.5,"<div>I sat down and read the entirety of The House in the Cerulean Sea in one sitting and it was wonderful. I immediately clicked with the tone and style it was written in and the story swept me away.<br><br>Linus is 40 years old, lives with his cat and is committed to his job overseeing orphanages that take care of magical children. He lives his life according to the rules and does nothing unexpected. When he gets sent on a month long secret assignment to a far away orphanage with 6 unusual and dangerous children and their charming caretaker, everything gets turned upside down.<br><br>I loved all of the characters so much. I laughed several times at the children's antics or Linus's awkwardness and at other times my heart ached for them.  The story explores being different and feared, finding a place where you belong and fighting for those you care about. It's heartwarming and wholesome and hopeful and I loved it.</div>","",,"",Yes
Deeplight,Frances Hardinge,"",9781509836956,hardcover,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Son of the Storm,Suyi Davies Okungbowa,"","",,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
The Slow Regard of Silent Things,Patrick Rothfuss,Nate Taylor (Illustrator),"",hardcover,read,2015/09/26,2018/08/14,2018/08/14,1,"",,,,,,,3.0,"Sweet and strange and meandering week in the life Auri. No plot, only one character but I enjoyed it.","",,"",Yes
All the Birds in the Sky,Charlie Jane Anders,"","",,read,2017/04/07,2017/04/30,2017/04/30,1,"",,,,,,,3.0,"I found this book quite strange which isn't necessarily a bad thing. I think the strange quality mainly came from the tone often being quite disjoint from the subject being dealt with. Everything is presented to you in the same way, no matter whether it's magic, technology, bullying or bodily functions. There's an interesting mix of fantasy and sci-fi but the characters' lives and problems take centre stage. You see various snapshots showing how they deal with the highs and lows of living your life while trying to do the right thing. It is a great illustration of how people can have very different concepts of what is ""right"".  I was a little disappointed with the ending as the build up is better than the resolution. All in all I'm glad I read it but I probably won't read it again.","",,"",No
The Good Luck Girls,Charlotte Nicole Davis,"","",,to-read,2020/11/11,"","",0,"",,,,,,,,,"",,"kindle, ya-sff-by-aoc-2020, ebook",Yes
Blood of Dragons,Robin Hobb,"",,,read,2014/01/06,2014/01/06,2014/01/06,1,"",,,,,,,5.0,,"",,"",No
"Nevertheless, She Persisted: Flash Fiction Project","Catherynne M. Valente, Maria Dahvana Headley, Jo Walton, Nisi Shawl, Carrie Vaughn, Brooke Bolander, Alyssa Wong, Diana M. Pho, Amal El-Mohtar, Seanan McGuire, Charlie Jane Anders, Kameron Hurley","",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Everfair,Nisi Shawl,"",,,to-read,2018/02/25,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
1984,George Orwell,Erich Fromm (Contributor),"",,read,,2018/01/19,2018/01/19,1,"",,,,,,,4.0,,"",,"",No
This Place: 150 Years Retold,"Natasha Donovan, David Alexander Robertson, Sean Qitsualik-Tinsley, Jen Storm, Niigaanwewidam James Sinclair, Tara Audibert, Kateri Akiwenzie-Damm, Chelsea Vowel, GMB Chomichuk, Scott A. Ford, Brandon Mitchell, Richard Van Camp, Donovan Yaciuk, Rachel Qitsualik-Tinsley, Alicia Elliott, Katherena Vermette, Scott B. Henderson, Ryan Howe, Sonny Assu, Andrew Lodwick, Kyle Charles","","",,to-read,2020/11/30,"","",0,"",,,,,,,,,"",,"",No
The Starlit Wood: New Fairy Tales,"Dominik Parisien, Navah Wolfe","Charlie Jane Anders, Aliette de Bodard, Amal El–Mohtar, Jeffrey Ford, Max Gladstone, Theodora Goss, Daryl Gregory, Kat Howard, Stephen Graham Jones, Margo Lanagan, Marjorie Liu, Seanan McGuire, Garth Nix, Naomi Novik, Sofia Samatar, Karin Tidbeck, Catherynne M. Valente, Genevieve Valentine",9781481456135,paperback,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
This Is How You Lose the Time War,"Max Gladstone, Amal El-Mohtar","",9781534431010,digital,read,2019/11/03,2019/12/09,2019/12/09,1,"tense, challenging, adventurous",fast,,Yes,Yes,Yes,No,4.0,"I was actually both curious and reluctant to read this but it was picked for book club and I have this a try. I usually hate letters as a device in books, but this time I didn't. I loved seeing the relationship between Red and Blue develop and the endless different ways of delivering the letters were brilliant.","",,"",No
Nocturna,Maya Motayne,"",780062842732,hardcover,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Parable of the Talents,Octavia E. Butler,"",9781472263650,paperback,to-read,2020/02/23,"","",0,"",,,,,,,,,"",,physical-copy,Yes
The Bear and the Nightingale,Katherine Arden,"",9780399593284,hardcover,read,2017/07/10,2017/07/21,2017/07/21,1,"",,,,,,,5.0,"This book is fabulous. I read it for my book club and wasn't really sure what to expect but I ended up loving it. It's full of folklore and fairytales with a great wintery, mystical setting. It had characters I was rooting for, characters that creeped me out and characters I wanted to shake out of frustration. I can't wait for book two!","",,"",No
The Loneliest Girl in the Universe,Lauren James,"",9781406375473,paperback,read,2018/10/23,2018/10/23,2018/10/23,1,"",,,,,,,3.0,"So I read this in one day, I almost missed my train station reading it and as soon as I got home I sat down and finished it. It's certainly addictive. I liked the first part of the book, I liked seeing how the main character deals with anxiety and how living on a spaceship isn't glorified and fun, it realistically has a lot of downsides. Despite this if it had continued in the vein it was going in, I wouldn't have been that impressed (in fact I probably would have rolled my eyes). The second part of the book was brilliant and anything else I want to say is spoilers.","",,"",Yes
Ancillary Sword,Ann Leckie,"",9780316246644,digital,read,2018/11/01,2018/11/08,2018/11/08,1,"",,,,,,,5.0,,"",,"",Yes
The Mask of Mirrors,M.A. Carrick,"",9780356515175,paperback,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
Mistborn: The Final Empire,Brandon Sanderson,"",9780765311788,hardcover,read,,2016/06/07,2016/06/07,1,"",,,,,,,5.0,,"",,"",No
Grey Sister,Mark Lawrence,"","",paperback,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Preludes & Nocturnes,Neil Gaiman,"","",,to-read,2021/03/13,"","",0,"",,,,,,,,,"",,"",No
The Sound of Stars,Alechia Dow,"","",,to-read,2020/11/11,"","",0,"",,,,,,,,,"",,ya-sff-by-aoc-2020,No
Convenience Store Woman,Sayaka Murata,Ginny Tapley Takemori (Translator),9781846276835,paperback,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
"Giant Days, Vol. 4","Jim Campbell, John Allison, Max Sarin, Liz Fleming, Whitney Cogar","",9781613986097,digital,to-read,2020/12/01,"","",0,"",,,,,,,,,"",,"comixology, ebook",Yes
"The Long Way to a Small, Angry Planet",Becky Chambers,"",9781500453305,paperback,read,,2017/09/26,2017/09/26,1,"",,,,,,,5.0,,"",,"",No
"The Wicked + The Divine, Vol. 4: Rising Action","Jamie McKelvie, Matt Wilson, Kieron Gillen","","",,read,2020/04/18,2020/05/25,2020/05/25,1,"tense, dark, adventurous",fast,,No,It's complicated,Yes,Yes,5.0,"","",,"",Yes
"Paper Girls, Vol. 3",Brian K. Vaughan,"Cliff Chiang (Illustrator), Matt Wilson (Illustrator)",9781534302235,paperback,read,,2019/07/09,2019/07/09,1,"",,,,,,,4.0,,"",,"",No
A Stranger in Olondria,Sofia Samatar,"",,,to-read,2021/08/27,"","",0,"",,,,,,,,,"",,"",No
Briar's Book,Tamora Pierce,"",,,read,2013/01/18,"","",1,"",,,,,,,3.0,,"",,"",No
Last Night at the Telegraph Club,Malinda Lo,"",9780525555254,hardcover,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
Riot Baby,Tochi Onyebuchi,"",9781250214751,hardcover,read,2020/06/18,2021/05/15,2021/05/15-2021/05/15,1,"dark, emotional",medium,Character,Yes,It's complicated,Yes,Yes,4.0,"","","","physical-copy, adult-sff-by-aoc-2020",Yes
Dangerous Remedy,Kat Dunn,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
"The Wicked + The Divine, Vol. 8: Old Is the New New","Jamie McKelvie, Matt Wilson, Chip Zdarsky, Erica Henderson, Stephanie Hans, Jen Bartel, Kieron Gillen, Kris Anka, Kate Leth, André Lima Araújo","","",,read,2020/04/18,2020/07/02,2020/07/02,1,"funny, dark",medium,,No,It's complicated,Yes,Yes,3.5,<div>It was fun and I laughed a lot but I wanted plot rather than a collection of side stories</div>,"",,"",Yes
The Song of Achilles,Madeline Miller,"","",paperback,read,,2018/08/30,2018/08/30,1,"",,,,,,,4.0,I'm always impressed when an author can write something where I know how it's going to end and not only manages to keep me hanging on to each page but also takes me on an emotional rollercoaster.  I loved the point of view of Patroclus and seeing the heroes through his eyes. I feel like I flew through this book and I wish there was still more left to read.,"",,"",No
Eldest,Christopher Paolini,"","",,read,2013/01/18,"","",1,"",,,,,,,3.0,,"",,"",No
Page,Tamora Pierce,"",,,read,2013/01/18,"","",1,"",,,,,,,4.0,,"",,"",No
The Order of the Pure Moon Reflected in Water,Zen Cho,"",9781250269249,digital,read,2020/07/17,2020/07/30,2020/07/30,1,"funny, adventurous",fast,,Yes,Yes,Yes,No,4.0,"<div>This was such a fun, quick read! After a brawl at a coffeehouse, a nun joins a band of bandits and chaos ensues. This novella combines magic and martial arts, running from the law, explorations of faith and is laugh out loud funny.</div>","",,adult-sff-by-aoc-2020,Yes
"The Woods, Vol. 1: The Arrow","Michael Dialynas, James Tynion IV","",,,to-read,2020/11/28,"","",0,"",,,,,,,,,"",,"comixology, ebook",Yes
The Woman Who Rides Like a Man,Tamora Pierce,"",,,read,2020/02/20,2020/02/21,2020/02/21,2,"",,,,,,,4.0,,"",,"",Yes
The Space Between Worlds,Micaiah Johnson,"","",,read,2020/09/10,2020/10/03,2020/10/03,1,"tense, dark, adventurous",medium,,Yes,Yes,Yes,Yes,5.0,<div>This book is amazing. Read it.</div>,"Moderate: Physical abuse and Violence; Minor: Toxic relationship, Suicidal thoughts, and Addiction; ","",adult-sff-by-aoc-2020,Yes
Ninth House,Leigh Bardugo,"",9781250313072,hardcover,to-read,2020/03/21,"","",0,"",,,,,,,,,"",,physical-copy,Yes
The Lathe of Heaven,Ursula K. Le Guin,"",,,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Dragon Pearl,Yoon Ha Lee,"","",,to-read,2021/07/09,"","",0,"",,,,,,,,,"",,"",No
The Girl in the Tower,Katherine Arden,"","",paperback,read,2018/02/08,2018/02/09,2018/02/09,1,"",,,,,,,5.0,"After loving The Bear and The Nightingale, I had high hopes for this book and it didn't disappoint. It was wonderful being back in the wintery world of fairytales and magic and seeing the next part of Vasya's journey. A journey so easy to get lost in that I missed my stop on the train. Once again we had a great villain, though one completely different from the Bear and I loved meeting Sasha and Olga again. Looking forward to the final book!","",,"",No
American Gods,Neil Gaiman,"","",,read,,2016/04/25,2016/04/25,1,"",,,,,,,4.0,,"",,"",No
Fool Moon,Jim Butcher,"",9781440631696,digital,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,maybe-remove-from-tbr,No
A Master of Djinn,P. Djèlí Clark,"",9781250267689,hardcover,read,2021/04/30,2021/05/09,2021/04/23-2021/05/09,1,"adventurous, funny, mysterious",medium,Plot,Yes,Yes,Yes,No,4.0,"<div>A Master of Djinn, like most murder mysteries, starts with murder. The wonderful Agent Fatma comes to investigate and from there we get to explore all over to find our mysterious killer, who claims to be a powerful historical figure returned to this world. <br><br>This book is also so much more than a murder mystery, it's alternate history, explores politics, romance, fantasy (obviously) and more. It also made me laugh so many times. The pace started off pretty slow (at least compared to how quickly things move in the short stories and novellas) but it gives time to explore more of the world and characters. The second half picks up the pace dramatically and I raced through it. <br><br>The characters are wonderful, there are so many strong female characters and while they are underestimated by people who don't know them they are unapologetically great at what they do. There's a big focus on the outcasts of society, those who are left behind, discriminated against or condemned for their beliefs. It gives the world more depth, we see all aspects of society and how they interact with eachother hugely impacts the flow of the plot. <br><br>I've really enjoyed everything that I've read which has been set in this world and I was so happy to get a full length novel. I hope there are many more to come and l desperately want someone to make a TV show out of this! <br><br>(I was gifted this book as part of a book tour)</div>","","","",Yes
James and the Giant Peach,"Roald Dahl, Quentin Blake","","",,read,2013/01/18,"","",1,"",,,,,,,3.0,,"",,"",No
The Princess Bride,William Goldman,"","",,read,2017/07/31,2018/04/13,2018/04/13,1,"",,,,,,,4.0,"Light-hearted, ridiculous, silly and really, really fun. <i>(just ignore all the interludes in italics) <i></i></i>","",,"",No
The Bone Shard Daughter,Andrea Stewart,"",9780316541428,hardcover,to-read,2020/09/10,"","",0,"",,,,,,,,,"",,"physical-copy, priority, adult-sff-by-aoc-2020",Yes
Trickster's Choice,Tamora Pierce,"","",,read,2013/01/18,"","",1,"",,,,,,,4.0,,"",,"",No
"Paper Girls, Vol. 4",Brian K. Vaughan,"Cliff Chiang (Illustrator), Matt Wilson (Illustrator)",9781534305106,paperback,read,2019/07/13,2019/07/13,2019/07/13,1,"",,,,,,,4.0,,"",,"",No
Red Seas Under Red Skies,Scott Lynch,"",9780553804683,hardcover,read,,2017/03/12,2017/03/12,1,"",,,,,,,3.0,,"",,"",No
A Darkness At Sethanon,Raymond E. Feist,"",,,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,maybe-remove-from-tbr,No
One Hundred Years of Solitude,Gabriel García Márquez,Gregory Rabassa (Translator),9780061120091,paperback,did-not-finish,2018/05/13,"","",0,"",,,,,,,,,"",,"",No
Guards! Guards!,Terry Pratchett,"","",,read,,2018/10/18,2018/10/18,1,"",,,,,,,4.0,,"",,"",Yes
The Unspoken Name,A.K. Larkwood,"",,,to-read,2020/02/23,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Piranesi,Susanna Clarke,"",9781635575637,hardcover,read,2020/12/30,2021/07/31,2021/07/19-2021/07/31,1,"mysterious, reflective",slow,Character,It's complicated,No,No,No,4.0,"","","","physical-copy, priority",Yes
Assassin's Apprentice,Robin Hobb,"",9780553897487,paperback,read,,"","",1,"",,,,,,,5.0,"I've lost count of the number of times I've read this book, it will always be one of my favourites. The characters are what makes this series so special and no other books have made me feel so attached to fictional people. This book is just a taste of what is to come. We get introduced to the world, the magics, the politics and see it all through the eyes of Fitz. We begin when he is five, thrust into an unfamiliar environment and we learn as he does. As the title suggests, he learns to be an assassin but it's so much more than that and there are many forces at play. <br><br>It was strange going straight from book 16 in the world to book 1 (but that was my fault for recommending it to book club). It really highlighted to me how much of a beginning this is, glimpses of characters I have come to love, making me want to rush on to read more. What amazed me this reading, was that there were still connections to later books I hadn't noticed before, a testament to how detailed this world is.  I should stop now and read something new but the only thing on my shelf I want to pick up is Royal Assassin...","",,"",No
Jonathan Strange & Mr Norrell,Susanna Clarke,"",9780765356154,paperback,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
The Malice,Peter Newman,"",,,read,2017/07/17,2018/05/29,2018/05/29,1,"",,,,,,,3.0,,"",,"",No
Wild Magic,Tamora Pierce,"",,,read,2020/03/15,2020/03/13,2020/03/13,2,"",,,,,,,4.0,,"",,"",Yes
The Memory Police,Yoko Ogawa,Stephen Snyder (Translator),9781101870600,hardcover,to-read,2020/08/19,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Tricks for Free,Seanan McGuire,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
A Local Habitation,Seanan McGuire,"",9781472116277,digital,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Midnight's Children,Salman Rushdie,"","",,did-not-finish,2019/12/18,"","",0,"",,,,,,,,"<div>I got around 100 pages in and really didn't get along with the style, it's overly complicated and is just tangent after tangent with characters I don't really care about. There's some really harrowing historical events in there yet most of the emotion I felt came from my previous knowledge of the event rather than how it's presented. I stopped cause I didn't want to spend so much effort on deciphering a story I wasn't enjoying that was also bringing up some very depressing themes. Some people in my book club loved it though so it's worth a try if you're curious.</div>","",,"",No
Muse of Nightmares,Laini Taylor,"",9780316341714,hardcover,read,2018/10/28,2018/10/31,2018/10/31,1,"",,,,,,,5.0,"Sometimes a book gets five stars purely for how the world makes me feel. Strange the Dreamer set up the world beautifully and  returning to it was wonderful. I loved the new point of view characters in this book and the extra details we get about some of the ones we already know. I hope we'll get to meet them again at some point. I didn't like it as much as Strange the Dreamer, at points I wanted more of the other characters and less of Lazlo and Sarai but it was still a highly enjoyable read.","",,"",Yes
Unnatural Magic,C.M. Waggoner,"",9781984805843,paperback,to-read,2021/02/21,"","",0,"",,,,,,,,,"",,"",No
Raybearer,Jordan Ifueko,"",9781471409271,paperback,read,2020/08/21,2021/03/21,2021/03/21-2021/03/21,1,"adventurous, emotional, tense",fast,A mix,Yes,Yes,Yes,No,5.0,"<div>I read Raybearer for a bookclub and I loved it. I had heard a lot of the hype, so was a bit worried that my expectations were too high but it ended up being exactly want I want in a fantasy. Interesting world, cool magic and great characters. It also has an excellent, complicated villain with an excellent backstory. I didn't really know what it was about when going in and I think that added to the enjoyment so feel free to skip the rest of this comment and just know I gave it five stars!<br><br>Tarisai has the power to read the memories of all that she touches so she grows up with no one allowed to touch her. She is raised as a tool to carry out her mother's will, compelled by powers beyond her own control. Above all, Tarisai is lonely and when she goes out into the world to carry out her task, she forms connections with other children with their own powers, many of whom are lonely too. It's a take on found family that felt deeply real and the few side characters that I got to know well, I loved.<br><br>That is just the tiniest glimpse of what is inside the book, there's a complicated political system with its own history of how the empire came to be and its own version of the lies that history tells. An ancient war between realms and a high price that is paid in the name of peace. Raybearer completely immerses you in this world and at the end I was immediately checking for when the sequel is out. I suppose I can wait till August but if I could have gone straight into the sequel, I would have. </div>","","","physical-copy, ya-sff-by-aoc-2020",Yes
The Time Machine/The Invisible Man,"Alfred MacAdam, H.G. Wells","","",,read,2016/02/22,2017/07/06,2017/07/06,1,"",,,,,,,3.0,,"",,"",No
Machine's Last Testament,Benjanun Sriduangkaew,"",9781607015390,paperback,to-read,2021/01/03,"","",0,"",,,,,,,,,"",,"",No
The Player of Games,Iain M. Banks,"","",,read,2019/09/02,2019/09/09,2019/09/09,1,"",,,,,,,3.0,,"",,"",Yes
Circe,Madeline Miller,"",9780316556347,hardcover,read,,2018/07/06,2018/07/06,1,"",,,,,,,4.0,,"",,"",Yes
Laura Dean Keeps Breaking Up With Me,Mariko Tamaki,"",9781250261540,digital,read,2021/01/29,2021/01/29,2021/01/29,1,emotional,medium,Character,Yes,Yes,Yes,Yes,4.0,"","","","",No
The Wicked King,Holly Black,"","",,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
The Binding,Bridget Collins,"",9780008272111,hardcover,to-read,2019/09/29,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Grave Peril,Jim Butcher,"","",,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,maybe-remove-from-tbr,No
Assassin's Quest,Robin Hobb,"","",,read,2013/01/18,"","",1,"",,,,,,,5.0,,"",,"",No
Remote Control,Nnedi Okorafor,"","",digital,read,2021/01/17,2021/01/17,2021/01/17-2021/01/17,1,"dark, mysterious",medium,"",Yes,It's complicated,No,It's complicated,4.0,"<div>Remote Control was not what I was expected but that's not a bad thing. It weaves together science fiction with a mythological vibe. Our protagonist is given unexplainable powers that can cause devastation and so a mythology builds up around her. People try to explain what they can't understand and it results in a mythic status for Sankofa who it uses to her advantage when she can and longs for the things that it denies her. <br><br>It's a story about survival, loss and being on the outside but wanting to belong somewhere. Also mysterious glowy green powers, a fox companion, high tech future Ghana and at one point a giant robot with drones for eyes. As always Nnedi Okorafor expertly weaves together a lot of ideas in a short amount of time.<br><br>(I received an eARC of this book in exchange for an honest review)</div>","","","",No
Not Your Sidekick,C.B. Lee,"",978194505347,digital,to-read,2020/11/28,"","",0,"",,,,,,,,,"",,"",No
Dreams Before the Start of Time,Anne Charnock,"",,,did-not-finish,2019/02/04,"","",0,"",,,,,,,,,"",,"",No
The Weight of the Stars,K. Ancrum,"",9781250101655,paperback,to-read,2020/12/08,"","",0,"",,,,,,,,,"",,ebook,Yes
"Girl, Serpent, Thorn",Melissa Bashardoust,"",9781250196149,hardcover,to-read,2021/07/09,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
All Boys Aren't Blue,George M. Johnson,"","",digital,read,2021/01/06,2021/01/19,2021/01/06-2021/01/19,1,"emotional, reflective",medium,,,,,,4.0,"","","","",No
Red Rising,Pierce Brown,"","",,read,2017/03/28,2017/03/28,2017/03/28,1,"",,,,,,,3.0,"This book could be better than 3 stars but I can't seem to give it four. The beginning and set up was okay but the meat of the book was relatively good. It kept me gripped and I wanted to know how it would end. However, I think the characters are holding me back from giving it four stars. I couldn't really get into them, I found it lacking a certain level of emotion. I also felt I was trying to back an underdog who wasn't really an underdog. It was an alright book and I might read the next book in the series but I want to like it more than I actually did.","",,"",No
The Gilded Wolves,Roshani Chokshi,"",9781250144546,hardcover,to-read,2021/10/31,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Future Home of the Living God,Louise Erdrich,"","",,did-not-finish,2020/12/31,"","",0,"",,,,,,,,"<div>I started off really intrigued, you don't know what's going on but there's an ominous background thread to the story. As we actually find out more details about what is happening and we head into full dystopian mode I started to lose focus. When I was kinda bored during something really exciting, I realised that the style of writing just wasn't working for me/I'm not in the right mood for it.</div>","","","ebook, kobo",Yes
Broken Homes,Ben Aaronovitch,"","",,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
"The Wicked + The Divine, Vol. 5: Imperial Phase, Part I","Jamie McKelvie, Kevin Wada, Matt Wilson, Kieron Gillen","","",,read,2020/04/18,2020/06/14,2020/06/14,1,"",,,"","","","",4.0,"","",,"",Yes
